Show Title, Subgroup, Last Episode Download Date, Max Size, directory, Bonus Str
Solo Leveling,SubsPlease,2025-02-15 17:32,2.5,/home/marcos/Plex/TV/Solo Leveling,1080
Apothecary Diaries,ember,2025-02-16 13:47,1.5,/home/marcos/Plex/TV/Kusuriya no Hitorigoto,None
